| qseqid | gene                      | concise_function                                                            | Local_adaptation_interpretation                                                                                                                                                                                                                                                            |
| g15920 | HKT1                      | Na⁺ transporter controlling shoot–root Na⁺ recirculation                    | Classic salt-tolerance locus. Variation here could reflect differences in **soil/river water salinity or Na⁺ load** (e.g., road salt, backwaters vs main channel), affecting how populations limit Na⁺ accumulation in leaves under repeated flooding/drying.                              |
| g15922 | HKT1                      | Na⁺ transporter controlling shoot–root Na⁺ recirculation                    | Same locus/haplotype block as above; reinforces that **Na⁺ homeostasis** is under spatially varying selection.                                                                                                                                                                             |
| g16343 | CIPK24 (SOS2)             | CBL-interacting kinase in SOS Na⁺/K⁺ homeostasis pathway                    | Core regulator of the **SOS salt-tolerance pathway** (activates Na⁺/H⁺ antiporter, etc.). Together with HKT1 suggests local adaptation of **ion balance under flooding, salinity, or high EC sediments**.                                                                                  |
| g24686 | CIPK12                    | Ca²⁺-regulated protein kinase                                               | General Ca²⁺-dependent stress signaling; often implicated in **salt/osmotic and ABA-related responses**. Could mediate population differences in how roots/cells decode Ca²⁺ signals during **flooding/drying cycles**.                                                                    |
| g29431 | CIPK12                    | Ca²⁺-regulated protein kinase                                               | Duplicate hit for same pathway; strengthens the signal that **Ca²⁺/CIPK signaling** is under landscape selection.                                                                                                                                                                          |
| g29432 | CIPK5                     | CBL-interacting protein kinase                                              | Another CIPK, known to participate in abiotic stress signaling (salt/drought). Fits a picture of **Ca²⁺-decoded stress perception** diverging among habitats (e.g., frequently inundated vs drier sites).                                                                                  |
| g29473 | NIP1-1                    | Nodulin-like aquaporin (water/small solute channel)                         | Aquaporins modulate **water and small solute movement** across membranes. Variation here could track **soil moisture, inundation depth/length, or potentially metalloids** in different reaches (backwater vs levee vs upland).                                                            |
| g16203 | AHA8                      | Plasma-membrane H⁺-ATPase                                                   | H⁺ pumping drives **nutrient uptake, ion balance, and apoplastic pH**. Local differences may reflect **nutrient regime (N, P), soil pH, or salinity**; also important for cell expansion and root growth in differing soil textures.                                                       |
| g416   | STP13                     | Hexose/H⁺ symporter at plasma membrane                                      | High-affinity hexose uptake. Good candidate for adaptation of **carbon allocation and sugar import** under different light regimes, flood stress, or pathogen pressures (sugar availability at infection sites).                                                                           |
| g35511 | NCED6                     | 9-cis-epoxycarotenoid dioxygenase (ABA biosynthesis, seed dormancy)         | Strong candidate for **seed dormancy and germination timing**. Populations along the river likely differ in the timing of safe sites (drawdown vs disturbance); NCED6 variation could tune **ABA levels and dormancy depth**, affecting emergence relative to flood regime.                |
| g15243 | LDL1                      | H3K4 demethylase; represses FLC/FWA, controls seed dormancy                 | Epigenetic regulator of **flowering time and primary seed dormancy**. Along with NCED6 could underlie **clines in germination and flowering phenology** matching flood/disturbance timing.                                                                                                 |
| g23197 | LDL2                      | LDL1-like H3K4 demethylase                                                  | Paralog with partially redundant roles in **FLC regulation and dormancy**. Having both LDL1/2 hit supports **epigenetic tuning of phenology and dormancy** across the landscape.                                                                                                           |
| g17284 | NLP6                      | NIN-like transcription factor in nitrate signaling                          | N-sensing regulator. Differences here make sense if your environmental predictors include **soil nitrate, agricultural runoff, or flood-delivered nutrient pulses**; could mediate local adaptation in growth response to nutrient pulses.                                                 |
| g32500 | PIN4                      | Auxin efflux carrier                                                        | Controls auxin distribution, especially in roots. Great candidate for **root architecture and gravitropic responses**, e.g., deeper vs shallower rooting in sites differing in **water table depth, sediment stability, or flood scour**.                                                  |
| g175   | KNAT6                     | KNOX homeobox controlling meristem maintenance & organ separation           | Affects **shoot architecture and meristem behavior**. Could contribute to differences in **branching, number of flowering stems, and vegetative vs reproductive investment**, matching disturbance frequency (e.g., annually scoured vs more stable sites).                                |
| g26715 | PCN                       | WD-repeat protein integrating auxin signaling in SAM/RAM                    | Integrates **auxin signaling in shoot/root meristems**. Along with PIN4 and KNAT6, points to local adaptation in **plant form (height, branching, root system)** relevant to competition and hydrology.                                                                                    |
| g17129 | PHB3                      | Mitochondrial prohibitin; NO/ROS, ethylene-related signaling                | Links **mitochondrial function, ROS, NO, and ethylene signaling**. Very plausible for adaptation to **hypoxia/anoxia and re-oxygenation** following floods, where mitochondrial integrity and ROS management matter.                                                                       |
| g1117  | NDA1                      | Alternative NAD(P)H dehydrogenase (non-proton-pumping)                      | Part of **alternative respiratory pathway**. Good candidate for **tolerance to low O₂ or high redox stress** (flooded soils, waterlogging) and for managing ROS during re-aeration.                                                                                                        |
| g1297  | NUDT15                    | CoA-diphosphatase removing oxidized CoA                                     | Detoxifies **oxidized CoA**, tied to oxidative stress and mitochondrial metabolism. Fits a theme of **redox management under flooding/drying cycles**. Nearby duplicate (g1298, g29430) suggests a robust signal in this region.                                                           |
| g29418 | GUN4                      | Tetrapyrrole-binding protein; regulates Mg-chelatase & retrograde signaling | Key regulator of **chlorophyll synthesis and plastid-to-nucleus signaling**. Variation could reflect adaptation to **light environment (open sandbar vs vegetated levee)** or **photodamage risk under shallower, clearer water vs shaded backwaters**.                                    |
| g7571  | LHCB7                     | Light-harvesting complex protein with role in NPQ                           | Modulates **non-photochemical quenching (energy dissipation)**. Nice candidate for **differences in high-light vs shaded conditions**, or fluctuating light associated with canopy cover and water reflection.                                                                             |
| g32467 | FLN2                      | Fructokinase-like; required for chloroplast gene expression                 | Essential for proper **chloroplast development and PEP-dependent transcription**. Together with GUN4/LHCB7 suggests a block of selection on **photosynthetic machinery** along light or stress gradients.                                                                                  |
| g29428 | TPT                       | Triose-phosphate/phosphate translocator (chloroplast export)                | Exports **triose phosphates from chloroplast to cytosol**; central to carbon partitioning. Good candidate for adaptation to **productivity differences**, e.g., nutrient-rich vs nutrient-poor sites or shifts in daylength/temperature along the river.                                   |
| g7562  | OEP21B                    | Chloroplast outer envelope anion channel for triose-P/3-PGA/Pi              | Controls flux of phosphorylated metabolites between chloroplast and cytosol. Adds to the theme of **photosynthate export and energy balance** between environments differing in **light, temperature, or flooding stress**.                                                                |
| g7564  | MCD1                      | Chloroplast division positioning factor                                     | Regulates **chloroplast number and size**. Could underlie subtle differences in **photosynthetic capacity, plasticity under high light/low light, or recovery from stress** between populations.                                                                                           |
| g28356 | RPPL1                     | RPP13-like NB-LRR disease resistance protein                                | Strong candidate for **local pathogen adaptation** (soilborne or foliar). Pathogen communities can vary with **flood regime, vegetation neighbors, and land use**, so spatially varying selection on R genes makes sense.                                                                  |
| g29472 | ROQ1                      | NB-LRR R protein with NADase activity                                       | Another R gene; NADase activity activates defense and PCD. Together with RPPL1 and RUN1 (below) indicates **strong immune-related selection**, possibly from **microbial communities structured by hydrology or disturbance**.                                                             |
| g7549  | RUN1                      | NB-LRR R protein with NADase activity                                       | Known to confer mildew resistance in grape. If truly orthologous, suggests **powdery-mildew-like or other biotrophic pathogen pressures** differing among sites (e.g., more humid backwaters vs windy levees).                                                                             |
| g7558  | MLO-H1                    | MLO family membrane protein (defense/susceptibility)                        | MLOs are classic **powdery mildew susceptibility genes**; loss-of-function often confers resistance. Very good candidate for **trade-offs between pathogen resistance and other functions (e.g., cell death, Ca²⁺ signaling)** along microclimatic gradients.                              |
| g7560  | MLO5                      | MLO-like protein (defense & cell death modulation)                          | Another MLO; strengthens the case for **pathogen-driven local adaptation** (perhaps fungi favored by particular hydrologic niches).                                                                                                                                                        |
| g29424 | ABCG29                    | ABC transporter G family, defense-related                                   | Likely exports specialized metabolites (defense compounds, antimicrobial molecules, or cuticular components). Could be involved in **chemical defense or cell-wall modifications** tuned to **local herbivore/pathogen/faunal communities**.                                               |
| g33447 | CYP83B1                   | P450 in indole glucosinolate and auxin metabolism                           | Central to **indole glucosinolate biosynthesis and auxin homeostasis**. Interpretable as **herbivore/pathogen defense trade-offs with growth**, and possibly tuning auxin levels for growth under different nutrient/light conditions.                                                     |
| g18104 | PLP7                      | Patatin-like lipase; affects oxylipins, defense & cell elongation           | Lipase connected to **oxylipin metabolism, cell death, and disease resistance**. Could integrate **biotic stress (pathogens) with growth responses**, potentially varying with vegetation structure or disturbance.                                                                        |
| g1101  | At4g20840 (BBE-like 21)   | Berberine-bridge-enzyme-like oxidoreductase                                 | BBE-like proteins often act in **cell wall–associated or specialized metabolism** (including defense compounds/lignans). Plausible candidate for **cell-wall reinforcement or defense chemistry** in areas differing in mechanical stress (flood scouring) or herbivore/pathogen pressure. |
| g26515 | BXL7                      | β-D-xylosidase (cell wall remodeling)                                       | Cell-wall hydrolase likely acting on **hemicelluloses**. Could mediate differences in **stem/leaf mechanical properties**, lodging resistance, or **growth under frequent flooding and sediment movement**.                                                                                |
| g6035  | DPEP                      | Disproportionating enzyme / 4-α-glucanotransferase (starch metabolism)      | Involved in **starch breakdown and remodeling**. Good candidate for **carbon storage and remobilization strategies**, e.g., populations relying more on reserves to regrow after flood or cutting.                                                                                         |
| g30176 | Stearoyl-ACP 9-desaturase | Introduces double bond in fatty acids (18:0→18:1)                           | Controls **membrane fluidity**, cold and stress tolerance. Variation could be tied to **temperature and seasonal regime along the river, or to membrane stability under flooding and re-oxygenation**.                                                                                     |
| g663   | PXMP2                     | Peroxisomal membrane channel                                                | Contributes to **peroxisomal metabolite flux** (β-oxidation, ROS metabolism). Peroxisomes are key in **oxidative stress and lipid turnover**, so this may reflect **differences in stress intensity (flood, drought, heat) among populations**.                                            |
