qseqid,gene,concise_function,why candidate
g1092,SKIP27,F-box in SCF E3 ligase,SCF complexes control many hormone & growth regulators.
g1093,APC4,APC/C subunit,"Cell cycle, endoreduplication, cell division/elongation → architecture."
g1160,DME,DNA glycosylase DEMETER,Epigenetic imprinting; affects floral & vegetative development patterns.
g11850,AHL24,AT-hook TF,Nuclear MAR-binding TF; broadly affects chromatin and growth patterning.
g12243,LUG,Corepressor LEUNIG,"Floral meristem, ovule, leaf morphogenesis; strong dev regulator."
g1252,ERF12,Ethylene-responsive TF,Stress/ethylene TF; modulates many downstream growth & stress genes.
g13006,BHLH62,bHLH TF,Transcription factor; obvious regulatory candidate even if function poorly defined.
g1355,TPS7,Trehalose-P synthase,Sugar signaling; trehalose pathway often affects growth and stress tolerance.
g15989,PEP,KH RNA-binding regulator,Negative regulator of flowering via FLC; integrates flowering & gynoecium development.
g1599,CER1,VLC alkane synthase,Cuticular wax & pollen fertility; links to drought tolerance and shoot surface traits.
g1601,BIG2,ARF-GEF,Vesicle trafficking; affects cell expansion and membrane protein routing.
g20134,RID3,ROOT INITIATION DEFECTIVE 3,Meristem development; modulates CUC–STM pathway; strong architecture locus.
g20141,KING1,SnRK γ subunit,Central energy/carbon–N signaling; can rewire growth vs stress allocation.
g20142,EXO70B1,Exocyst subunit,Autophagy & ABA/drought-induced stomatal closure; lateral root formation.
g20168,MADS6,MADS-box TF,Floral organ identity & flowering time; classic major-effect candidate.
g20263,CIPK5,CBL-interacting kinase,Ca²⁺-dependent signaling; stress & ion balance; often impacts growth under stress.
g20277,AHA9,PM H⁺-ATPase,Drives apoplastic acidification & growth responses; stomatal and nutrient uptake effects.
g20278,DCL4,Dicer-like 4,"ta-siRNA production; controls SAM, leaf polarity, and shoot architecture."
g20404,IAA27,Aux/IAA repressor,"Auxin signaling core component; key for branching, elongation, gravitropism."
g20763,WRKY2,WRKY TF,Zygote polarization and early embryogenesis; strong dev regulator.
g20764,BRL1,BR receptor-like kinase,Brassinosteroid signaling in vascular tissues; growth & vascular differentiation.
g22861,SHL,Chromatin reader SHL,H3K4me binder; represses flowering integrators; global chromatin/flowering control.
g24111,SPL7,SBP-box TF,Panicle development / SPL-like; also links to nutrient (Cu) homeostasis.
g26187,FRS5,FAR1-related TF,Light-regulated development; photomorphogenesis candidate.
g26957,DIVARICATA,DIV TF,Establishes dorsal–ventral floral asymmetry; strong morphology gene.
g26992,CLO,U5 snRNP factor CLO,Essential for female gametophyte & embryo development; also controls polarized growth.
g26993,CLO,(same as above),Duplicate hit; same interpretation.
g27331,OXI1,OXI1 kinase,ROS-dependent signaling; required for root hair growth & basal resistance.
g28766,RUS2,Root UV-B sensitive 2,Controls root UV-B response & polar auxin transport; root architecture.
g28799,FLK,KH-domain flowering regulator,Represses FLC; classic flowering-time regulator.
g28837,NEK2,NEK-family kinase,Cell cycle and development roles; plausible architecture regulator.
g29605,LNK3,LNK coactivator,Circadian/photoperiodic coactivator; tends to affect flowering & growth rhythms.
g29608,RBL,RBL TF,Promotes FLC & WRKY70/LTP7 expression; integrates flowering and defense.
g29609,PIP5K6,PI4P 5-kinase,PI signaling in tip growth; affects cell polarity and expansion.
g29742,FER,FERONIA RLK,"Master regulator: cell expansion, BR/auxin/ABA cross-talk, immunity, fertilization."
g29745,CKX6,Cytokinin oxidase,"Controls CK levels; directly linked to branching, meristem activity, root/shoot balance."
g30200,PATROL1,AHA1 tether,Controls PM H⁺-ATPase localization; central to stomatal opening & carbon gain.
g30376,BPG2,BR pale green 2,BR-mediated chloroplast differentiation and rRNA accumulation; growth vs light.
g30385,PES,Pescadillo homolog,rRNA maturation & mitosis; affects root cell growth and overall vigor.
g30386,CALS9,Callose synthase 9,Required for pollen mitosis & general development; regulates callose-dependent cell wall dynamics.
g30714,UXS1,UDP-xylose synthase,UDP-xylose supply for cell wall glycans; morphology & wall mechanics.
g30720,CAND7,GPCR-like,Perceives bacterial AHLs affecting root growth; microbe–plant interaction & root architecture.
g30760,DOT2,SART-1 family,"Meristem organization, vasculature patterning; strong developmental regulator."
g30763,DOT2,(same as above),Duplicate hit; same interpretation.
g30764,MBR2,E3 ligase,Controls MED25 stability & FT expression; directly tied to flowering promotion.
g30772,HERK1,HERK RLK,Works with FER in BR-independent cell elongation; growth regulator.
g30777,SAUR54,SAUR protein,Links auxin to PM H⁺-ATPase activation; drives cell expansion and tropic bending.
g30793,DPB,E2F-dimer partner,Cell cycle G1/S regulator; affects division vs differentiation and lateral root initiation.
g30935,NPF1.2,Nitrate transporter,Xylem–phloem nitrate redistribution; affects leaf nutrient status & growth.
g30936,NPF1.2,(same as above),Duplicate hit.
g31334,MYB111,Flavonol TF,Controls flavonol biosynthesis & UV-B tolerance; links pigmentation with stress.
g3167,TPR4,TOPLESS-related,Corepressor in GA homeostasis/signaling; integrates hormone cues and growth.
g32199,AGL80,MADS-box,"Central cell differentiation; female gametophyte function, pollen tube attraction."
g33062,ACR11,ACT-domain regulator,Amino-acid feedback regulation (likely glutamine); metabolic control of growth.
g33963,SVP,MADS-box floral repressor,Major flowering repressor; dosage-dependent effects on transition & meristem identity.
g1096,SPHK2,Sphingosine kinase 2,ABA-dependent stomatal closure & root growth; drought/salt signaling node.
