qseqid	gene	protein_name	uniprot_acc	organism	Function	concise_function	SV_mechanism_relevance
g1085	TY3B-I	Transposon Ty3-I Gag-Pol polyprotein	Q7LHG5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the genomic RNA-nucleocapsid complex. {ECO:0000250}.; FUNCTION: Nucleocapsid protein p11 (NC) forms the nucleocore that coats the retro-elements dimeric RNA. Binds these RNAs through its zinc fingers (By similarity). Promotes primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of Ty3 RNA and initiation of reverse transcription (By similarity). {ECO:0000250}.; FUNCTION: The aspartyl protease (PR) mediates the proteolytic cleavages of the Gag and Gag-Pol polyproteins after assembly of the VLP. {ECO:0000250}.; FUNCTION: Reverse transcriptase/ribonuclease H (RT) is a multifunctional enzyme that catalyzes the conversion of the retro-elements RNA genome into dsDNA within the VLP. The enzyme displays a DNA polymerase activity that can copy either DNA or RNA templates, and a ribonuclease H (RNase H) activity that cleaves the RNA strand of RNA-DNA heteroduplexes during plus-strand synthesis and hydrolyzes RNA primers. The conversion leads to a linear dsDNA copy of the retrotransposon that includes long terminal repeats (LTRs) at both ends (By similarity). {ECO:0000250}.; FUNCTION: Integrase (IN) targets the VLP to the nucleus, where a subparticle preintegration complex (PIC) containing at least integrase and the newly synthesized dsDNA copy of the retrotransposon must transit the nuclear membrane. Once in the nucleus, integrase performs the integration of the dsDNA into the host genome (By similarity). {ECO:0000250}.	Retrotransposon Ty3-like polyprotein	LTR retrotransposons are common drivers of large insertions, recombination and rearrangements; strong candidate for the origin of the structural variant.
g1091	Tf2-9	Transposon Tf2-9 polyprotein	P0CT40	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	NA	Retrotransposon Tf2-like polyprotein	TE sequence that can mediate ectopic recombination or new insertions; supports a TE-rich context driving the SV.
g1113	NA	Retrovirus-related Pol polyprotein from transposon TNT 1-94	P10978	Nicotiana tabacum	NA	Retrovirus-related LTR transposon polyprotein	Another LTR-retrotransposon-like element; presence of multiple such elements strongly suggests a structural-variant hotspot.
g1178	NA	LINE-1 retrotransposable element ORF2 protein	O00370	Homo sapiens	Has reverse transcriptase activity required for target-primed reverse transcription of the LINE-1 element mRNA, a crucial step in LINE-1 retrotransposition (PubMed:38096901, PubMed:38096902, PubMed:7516468, PubMed:9140393). Selectively binds and reversely transcribes RNA with a poly(A) tail consisting of at least 20 adenosines (PubMed:38096901). Also has endonuclease activity that allows the introduction of nicks in the chromosomal target DNA (PubMed:17626046, PubMed:34554261, PubMed:38096901, PubMed:38096902, PubMed:8945517). Cleaves DNA in AT-rich regions between a 5' stretch of purines and a 3' stretch of pyrimidines, corresponding to the sites of LINE-1 integration in the genome (PubMed:8945517). Conformational properties of the target DNA sequence rather than specific nucleotides are key determinants of the ORF2p capacity for sequence-specific DNA recognition (PubMed:17626046, PubMed:34554261). Unlike related endonucleases, does not bend the DNA helix but causes compression near the cleavage site (PubMed:34554261).	LINE-like reverse transcriptase/endonuclease	LINE-type elements generate double-strand breaks and insertions; excellent mechanistic candidate for the SV (through insertion or recombination in AT-rich DNA).
g1112	AGO8	Protein argonaute 8	Q3E984	Arabidopsis thaliana	Involved in RNA-mediated post-transcriptional gene silencing (PTGS). Main component of the RNA-induced silencing complex (RISC) that binds to a short guide RNA such as a microRNA (miRNA) or small interfering RNA (siRNA). RISC uses the mature miRNA or siRNA as a guide for slicer-directed cleavage of homologous mRNAs to repress gene expression (By similarity).	Argonaute protein in RNA silencing	Major component of small-RNA silencing; relevant as part of a local cluster of TE- and chromatin-regulation machinery that can influence TE activity and SV formation.
g1160	DME	Transcriptional activator DEMETER	Q8LK56	Arabidopsis thaliana	Transcriptional activator involved in gene imprinting. Catalyzes the release of 5-methylcytosine (5-meC) from DNA by a glycosylase/lyase mechanism. Allows the expression of the maternal copy of the imprinted MEA gene before fertilization, possibly by antagonizing or suppressing DNA methylation on target promoter. Probably acts by nicking the MEA promoter. Required for stable reproducible patterns of floral and vegetative development.	Active DNA demethylase, imprinting	Active demethylation can modulate TE silencing and local chromatin; variation could change TE activity and structural-variant dynamics.
g1161	DME	Transcriptional activator DEMETER	Q8LK56	Arabidopsis thaliana	Transcriptional activator involved in gene imprinting. Catalyzes the release of 5-methylcytosine (5-meC) from DNA by a glycosylase/lyase mechanism. Allows the expression of the maternal copy of the imprinted MEA gene before fertilization, possibly by antagonizing or suppressing DNA methylation on target promoter. Probably acts by nicking the MEA promoter. Required for stable reproducible patterns of floral and vegetative development.	Active DNA demethylase, imprinting	Same locus; multiple hits consistent with a demethylase-rich region adjacent to TE clusters.
g1162	ROS1	DNA glycosylase/AP lyase ROS1	Q9SJQ6	Arabidopsis thaliana	Bifunctional DNA glycosylase/lyase, which excises 5-methylcytosine (5-meC) and 5-hydroxymethylcytosine (5-hmeC), leaving an apyrimidinic (AP) site that is subsequently incised by the lyase activity (PubMed:25240767). Generates 3'-phosphor-alpha,beta-unsaturated aldehyde (3'-PUA) as a primary 5-meC excision intermediate (PubMed:25228464). Prevents DNA hypermethylation, specifically in the promoter of otherwise silenced loci. May be involved in DNA repair through its nicking activity on methylated DNA. Binds with similar affinity to both methylated and non-methylated DNA. Highly distributive behavior on DNA substrates containing multiple 5-meC residues. Involved with Pol IV in the remodeling of the 5S rDNA chromatin via DNA methylation modifications during the first days of development post-germination. Participates in UV-B induced- and oxidative DNA damage repair (PubMed:24155752).	Active DNA demethylase, anti-hypermethylation	Core enzyme controlling DNA methylation status at many loci, including TE regions; can influence TE silencing, chromatin structure, and thus SV susceptibility.
g1163	ROS1A	Protein ROS1A	C7IW64	Oryza sativa subsp. japonica	Bifunctional DNA glycosylase/lyase, which excises 5-methylcytosine (5-meC) and 5-hydroxymethylcytosine (5-hmeC), leaving an apyrimidinic (AP) site that is subsequently incised by the lyase activity (Probable). DNA demethylase that is indispensable in both male and female gametophyte development (PubMed:22448681). Involved in the regulation of DNA methylation in the promoters of RISBZ1/BZIP58 and DOF3/RPBF, two transcription factors that functions synergistically to positively regulate genes that are key players in the development of aleurone layers (PubMed:30275307). Active DNA demethylation carried out by ROS1A in rice endosperms may restrict the number of aleurone cell layers (PubMed:30275307).	Active DNA demethylase (rice homolog)	Homologous evidence for ROS1-type demethylases; supports a local epigenetic-regulation hotspot near the SV.
g1167	ROS1	DNA glycosylase/AP lyase ROS1	Q9SJQ6	Arabidopsis thaliana	Bifunctional DNA glycosylase/lyase, which excises 5-methylcytosine (5-meC) and 5-hydroxymethylcytosine (5-hmeC), leaving an apyrimidinic (AP) site that is subsequently incised by the lyase activity (PubMed:25240767). Generates 3'-phosphor-alpha,beta-unsaturated aldehyde (3'-PUA) as a primary 5-meC excision intermediate (PubMed:25228464). Prevents DNA hypermethylation, specifically in the promoter of otherwise silenced loci. May be involved in DNA repair through its nicking activity on methylated DNA. Binds with similar affinity to both methylated and non-methylated DNA. Highly distributive behavior on DNA substrates containing multiple 5-meC residues. Involved with Pol IV in the remodeling of the 5S rDNA chromatin via DNA methylation modifications during the first days of development post-germination. Participates in UV-B induced- and oxidative DNA damage repair (PubMed:24155752).	Active DNA demethylase, anti-hypermethylation	Additional hits to the same gene; emphasizes that multiple fragments of a demethylase locus are in this LD block.
