qseqid	gene	tier	niche_module	concise_function	floodplain_vs_upland_interpretation
g12067	RCD1	Tier1	Stress_ABA_ROS	Regulator of oxidative and hormonal stress responses integrating multiple abiotic stress signals.	Divergence here could tune how genotypes handle ROS and hormone signaling during flooding, re-oxygenation, and chronic upland drought.
g30919	ITN1	Tier1	Stress_ABA_ROS	ABA- and ROS-related regulator contributing to salt and osmotic stress tolerance.	May underlie different strategies for dealing with ion/oxidative stress in periodically flooded soils versus drier upland sites.
g12106	SIS8	Tier1	Stress_ABA_ROS	Kinase linking salt tolerance with sugar signaling during early seedling development.	Could drive differences in seedling establishment under osmotic stress and carbon limitation in floodplains versus uplands.
g25347	NRP	Tier1	Stress_ABA_ROS	Modulator that enhances ABA responses during abiotic and biotic stress.	Variation may reflect contrasting optimal ABA sensitivity between waterlogged floodplains and water-limited upland environments.
g3862	THO6	Tier1	Stress_ABA_ROS	mRNA-processing and export factor that also helps repress ABA signaling via an E3 ligase complex.	May tune balance between growth and ABA-mediated stress responses differently in floodplain versus upland populations.
g30917	MPV17	Tier1	Stress_ABA_ROS	Mitochondrial channel controlling membrane potential, dNTP pools, and ROS homeostasis.	Good candidate for adaptation to repeated hypoxia–reoxygenation cycles in floodplains versus more stable but drier uplands.
g31612	PLDZETA1	Tier1	Nutrient_P_N	Phospholipase involved in root-hair development and phosphorus-starvation responses.	May underlie divergent root responses to chronic low P in uplands versus pulsed, flood-driven P inputs in floodplains.
g30468	At5g60760	Tier1	Nutrient_P_N	Regulator of seed phytic acid levels and phosphorus storage.	Supports different seed P storage strategies between nutrient-poor uplands and nutrient-richer, sediment-fed floodplains.
g12166	ASP5	Tier1	Nutrient_P_N	Chloroplastic aminotransferase central to nitrogen and carbon metabolism.	Could reflect divergent optimization of N and C use under contrasting soil fertility and redox regimes in floodplain vs upland soils.
g1629	LPEAT2	Tier1	Nutrient_P_N	Enzyme controlling phospholipid acyl composition and membrane lipid homeostasis.	Membrane remodeling differences here may help floodplain plants tolerate submergence and recovery compared to upland plants.
g22695	CAD1	Tier1	Structure_CellWall	Lignin-pathway enzyme producing monolignol alcohols for cell wall strengthening.	Strong candidate for differences in stem strength and flexibility under hydraulic disturbance in floodplains versus wind/competition in uplands.
g2481	Xyl2	Tier1	Structure_CellWall	Cell-wall hydrolase modifying hemicellulose and arabinoxylan side chains.	May contribute to distinct cell wall mechanics for growth in soft, waterlogged sediment versus denser upland soils.
g2850	COP1	Tier1	Light_Architecture	Master E3 ligase regulator of light signaling and photomorphogenesis.	Could underlie divergent light and shade-avoidance strategies between open, disturbed floodplains and more competitive, shaded uplands.
g5249	PRE6	Tier1	Light_Architecture	bHLH transcriptional regulator modulating shade-avoidance and light responses.	Supports differentiation in elongation and canopy response strategies associated with different light regimes in floodplain vs upland habitats.
g26906	FTIP3	Tier1	Light_Architecture	Regulator of shoot apical meristem stem-cell balance and shoot architecture.	Likely involved in contrasting branching and shoot forms favored by disturbance-prone floodplains versus more stable upland stands.
g20122	PCMP-H40	Tier1	Photosynthesis_ETC	Chloroplast PPR protein controlling RNA editing of NDH and rpoB, affecting NDH activity.	Candidate for divergent tuning of cyclic electron flow and photoprotection under fluctuating light and redox conditions in floodplain vs upland sites.
g25346	PCMP-H59	Tier1	Photosynthesis_ETC	Chloroplast PPR protein likely involved in organellar RNA processing and electron transport.	May fine-tune chloroplast function and stress tolerance under different flooding, light, and temperature regimes across habitats.
